;;;;;
RUT CLIENTE;NOMBRE CLIENTE;NOMBRE OBRA;ID OBRA;CORREO CONTACTO;DIRECCION
76057002-8;Ecomsa Empresa Constructora S.A.;EDIFICIO COMERCIAL ECHEÑIQUE;24374;jtorres@ecomsa.cl;ECHEÑIQUE 5839
59160350-7;COPCISA S.A.;EDIFICIO CONSISTORIAL DE CONTULMO;22043;ariel.kusnir@copcisa.con;Nahuelbuta 109
78063650-5;CONSTRUCTORA PROYEKTA LTDA.;EDIFICIO CONSISTORIAL LO BARNECHEA;23432;ncarrizo@constructoraproyekta.cl;AVDA. EL RODEO 12817
78742000-1;KRAS CONSTRUCCIONES LIMITADA;EDIFICIO CONSISTORIAL LOS VILOS;22167;alex.fuentealba@kras.cl;Avenida Caupolican 309
84102200-9;EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO LTDA;EDIFICIO CORMORAN - CONCON;23975;cfarias@bravoizquierdo.cl;Av Los Pelines 1091
76001406-0;COMERCIALIZADORA MACSA LTDA.;EDIFICIO CORPORATIVO CLARO;22751;MACSALTDA@123.CL;LOS ALERCES 2313
86856700-7;CONSTRUCTORA NOVATEC S.A.;EDIFICIO CORPORATIVO CLARO CHILE;21929;galende@novatec.cl;AV. EL SALTO 5450
85405000-1;PROCRET;EDIFICIO CORPORATIVO PROCRET;22884;sesquivel@procret.cl;SAN EUGENIO 12670
78407860-4;INMOBILIARIA LA VInA LIMITADA;EDIFICIO COVENTRY;24098;pquezada@inmobiliarialavina.cl;COVENTRY 760
76062496-9;Constructora CPI Ltda.;Edificio Coventry II;24303;jvazquez@cpi.cl;Coventry 744
96513310-0;CONSTRUCTORA INARCO S.A;EDIFICIO DE OFICINAS Y COMERCIO;22123;bcarrasco@inarco.cl;AV. DEL CONDOR  600
76020343-2;CONSTRUCTORA B Y V E HIJOS LIMITADA;EDIFICIO DEL CANDIL;23828;ibra2001@hotmail.com;Del Candil 648
78534370-0;CONSTRUCTORA TERRAMAR LTDA.;Edificio Delma;24299;danilofarri@terramar.cl;Simon Bolivar  2641
76202154-4;CONSTRUCTORA COFRAN LIMITADA;EDIFICIO DISPOLAB;23106;mmena@cofranc.cl;GERONIMO DE ALDERETE 1412
76015141-6;Constructora Trial Ltda.;Edificio Domingo Fernandez Concha;24566;fr@constructoratrial.cl;Compañía de Jesus 1277
76012891-0;CONSTRUCTORA SAN ISIDRO S.A;edificio don juan;22958;;CONDOR  11
78579010-3;Constructora El Remanso Ltda.;Edificio Don Olegario;23693;aflores@elremanso.cl;Cardenal Caro 392
76832960-5;Constructora Terratec Ltda.;Edificio Don Roberto;23222;diegofelipevalenzuela@gmail.com;Camilo Henriquez 247
96685980-6;CONSTRUCTORA SAN PEDRO S.A;EDIFICIO DUBLE ALMEYDA;21944;mauricio.acuña@enaco.cl;DUBLE ALMEYDA 1760
76174024-5;CONSTRUCTORA COPAHUE;EDIFICIO ECHEnIQUE;22383;mabarca@copahue.cl;ECHEnIQUE 5500
77113720-2;COLLICO LTDA.;Edificio Echeñique;24401;jccaballero@manquehue.net;Echeñique 1234
89853600-9;Constructora Ingevec S.A.;EDIFICIO ECOURBANO;22148;CSALINAS@INGEVEC.CL;Los Cerezos  76
78030120-1;CONSTRUCTORA ALTIUS S.A;EDIFICIO EJERCITO;24543;jrojas@altius.cl;EJERCITO LIBERTADOR 71
76107451-2;ABN CONSTRUCCION SOCIEDAD DE RESPONSABILIDAD LTDA.;EDIFICIO EKS;24301;;VICENTE PEREZ ROSALES 153
76107451-2;ABN CONSTRUCCION SOCIEDAD DE RESPONSABILIDAD LTDA.;EDIFICIO EKS II;24694;abenavides@abnconstruccion.cl;VICENTE PEREZ ROSALES 153
76756810-K;CONSTRUCTORA BALLADARES LTDA.;EDIFICIO EL COLORADO;23852;cesar.magana.acuna@gmail.com;CAMINO LA PALOMA  105
78030120-1;CONSTRUCTORA ALTIUS S.A;EDIFICIO EL DANTE;23389;cpino@altius.cl;El Dante | 4241
76349135-8;Soc. Const. Santa Ana Ltda.;Edificio El Nogal;23847;torrealba.mario@gmail.com;Las Delicias 405
79897890-K;CONSTRUCTORA SANTA TERESA LTDA;Edificio El Tranque II;24006;cstgonzalez@yahoo.com;El Tranque 12352
76062496-9;Constructora CPI Ltda.;Edificio Eliecer Parada II;24008;mmeza@cpi.cl;Eliecer Parada  1105
78534370-0;CONSTRUCTORA TERRAMAR LTDA.;EDIFICIO EMILIO VAISSE;22125;danilofarri@terramar.cl;EMILIO VAISSE 590
79797450-1;CONSTRUCTORA EDYKON LTDA;EDIFICIO ESMERALDA;22062;rubenyaeger@gmail.com;PILMAIQUEN ESQ. GUILLERMO BUHLER S/N
76080944-6;CONSTRUCTORA SANTA FE S.A.;EDIFICIO ESPOZ;24686;jbraukmann@gruposantafe.cl;ESPOZ 4100
76023463-k;CONSTRUCTORA FUTALEUFU S.A;EDIFICIO EXPLORA;21937;cbarahona@riopuelosa.cl;CAMINO DE LA VILLA 957
96531540-3;CONSTRUCTORA K Y P LTDA.;EDIFICIO FERNANDO DE ARGUELLO;21968;kyp4@manquehue.net;FERNANDO DE ARGUELLO 7245
76218435-4;CONSTRUCTORA TOOL LTDA;EDIFICIO FOTOMAR AMPLIACION;22545;;CAMINO LA COLINA 1447
78588540-6;CONSTRUCTORA NUEVO AMANECER LTDA.;EDIFICIO FREIRE;23100;obra.cna@gmail.com;Freire  1456
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;EDIFICIO GENERAL VELASQUEZ;24556;cmejias@santolaya.cl;GENERAL VELASQUEZ ESQUINA ALAMEDA SN
96844950-8;Ebco S.A.;Edificio Gorbea;21849;;Gorbea 2524
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;EDIFICIO GUARDIA VIEJA;24262;emontes@santolaya.cl;GUARDIA VIEJA 202
76111101-9;PECSA CHILE S.A.;EDIFICIO HAMBURGO;23292;mmejias@pecsachile.cl;HAMBURGO 1155
76062496-9;Constructora CPI Ltda.;Edificio Hamburgo 2 CPI;23450;nparra@cpi.cl;Hamburgo  920
77710830-1;SOC. CONST. ECHAVARRI HERMANOS LTDA.;EDIFICIO HERNANDO DE AGUIRRE;23460;oolivares@constructorasae.c;hernando de aguirre 1900
76031536-2;CONSTRUCTORA ISICA LTDA.;EDIFICIO HUECHURABA;24423;hfarias@isica.cl;CAMINO DE CINTURA 1458
96557050-0;DOMUS S.A.;EDIFICIO INDEPENDENCIA I;22321;jvasquez@maestra,cl;ANIBAL PINTO 1393
96557050-0;DOMUS S.A.;EDIFICIO INDEPENDENCIA II;22323;oramirez@maestra.cl;ANIBAL PINTO 1351
76019523-5;ENSI INGENIERIA Y CONSTRUCCION LTDA.;EDIFICIO INGRO;22071;nrojas@ensi.cl;JOSE JOAQUIN AGUIRRE LUCO  1479
76137387-0;SOC. CNST. E INM. RUDLOFF LTDA.;EDIFICIO INTEGRA OSORNO;23062;constructorarudloff@gmail.com;Francisco Bilbao 1860
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;EDIFICIO IRARRaZABAL ALESSANDRI;22859;lgurruchaga@santolaya.cl;JOSE PEDRO ALESSANDRI 61
78760220-7;ING. Y CONST. ALBRO LTDA.;EDIFICIO JARABE PROMAIZ;23318;fabarcav@gmail.com;Jaime guzman s/n paradero 7 s/n
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;EDIFICIO JORGE MATTE;23313;daguilar@santolaya.cl;JORGE MATTE 1945
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;EDIFICIO LA CONCEPCIoN;22206;mallendes@santolaya.cl;LA CONCEPCION 181
76009867-1;CONSTRUCTORA PRADO VERDE LTDA.;EDIFICIO LA ORACION;22091;psanhueza@pradoverde.cl;LA ORACION 43 43
86033700-2;Constructora Solari Ltda.;Edificio La Vinita;23458;rmiller@solari.cl;Pascual Baburizza  s/n
76004090-8;EMPRESA CONSTRUCTORA ALBORADA LTDA.;EDIFICIO LAS AGATAS;24591;amaltrana@constalborada.cl;las agatas 212
79897890-K;CONSTRUCTORA SANTA TERESA LTDA;EDIFICIO LAS ARAUCARIAS;23928;gparraguez@cst-ltda.cl;EL RODEO 13733
96823830-2;CONSTRUCTORA E INMOBILIARIA ARAME;EDIFICIO LAS HUALTATAS;23809;;LAS HUALTATAS 5099
76009867-1;CONSTRUCTORA PRADO VERDE LTDA.;Edificio Las Verbenas;23284;natalianeto@gmail.com;Las Verbenas 8519
76009867-1;CONSTRUCTORA PRADO VERDE LTDA.;Edificio Las Verbenas 2;24453;jsantander@pradoverde.cl;Las Verbenas  8505
96897350-9;Constructora Fortaleza S.A.;Edificio Le Blanc;24488;ncarbone@ifortaleza.cl;Alberto Le Blanc 1792
76062496-9;Constructora CPI Ltda.;Edificio Licenciado Las Penas;23393;scarter@cpi.cl;Licenciado Las Penas 5103
78030120-1;CONSTRUCTORA ALTIUS S.A;edificio llaveria;22843;;kennedy 9540
79578400-4;Constructora Armas Ltda.;Edificio Lo Fontecilla;24745;JJorquera@empresasarmas.cl;Lo Fontecilla 269 –A 269 –B
76117617-K;CONSTRUCTORA BEFCO S.A.;EDIFICIO LO GALLO - VI ETAPA;22212;jav@befco.cl;LAS TRANQUERAS 2500
76324750-3;CONSTRUCTORA RAUL DEL RIO LTDA.;EDIFICIO LO OVALLE;23764;jvaelnzuela@rauldelrio.cl;AVENIDA LO OVALLE 1385
76014318-9;RVC CONSTRUCTORA LTDA;EDIFICIO LORD COCHRANE;21935;agutierrez@rvc.cl;LORD COCHRANE 1010
79784200-1;EMPRESA CONSULTORA Y CONSTRUCTORA RUCALHUE LIMITADA;Edificio Los Alpes - Curico;28084;ahernadez@constructorarucalhue.cl;teniente artuo perez canto 890
78048860-3;LM CONSTRUCCION S.A.;EDIFICIO LOS ANGELES;24282;fgonzalez@l-m.cl;COLO COLO 1850
76014318-9;RVC CONSTRUCTORA LTDA;EDIFICIO LOS LEONES;21933;nevera@rvc.cl;LOS LEONES 2169
89231700-3;CONSTRUCTORA RALUN LTDA;EDIFICIO LOS LEONES;23956;stgonzam@hotmail.com;AVDA. LOS LEONES  1572
96889780-2;CONSTRUCTORA JORGE CARRASCO FARIAS S.A.;EDIFICIO LOS LEONES 710;24494;rulloac@cjcf.cl;LOS LEONES  710
86356400-k;CONSTRUCTORA ALMAGRO S.A.;EDIFICIO LOS VIKINGOS;22650;jruiz@almagro.cl;LOS VIKINGOS 6444
76290063-7;CONSTRUCTORA HW LTDA.;EDIFICIO LUGANO;23168;lsmith@hwork.cl;SANTA TERESA 835
76062496-9;Constructora CPI Ltda.;Edificio Luis Pereira;26881;gibacache@cpi.cl;Luis Pereira 786
76699230-7;Constructora Covalco S.A.;Edificio Luis Thayer Ojeda;21810;aschmidt@covalco.cl   ;Avenida Ossa 2051
79895730-9;Soc. Constructora Santa Cruz S.A.;Edificio Lyon Varsovia;21825;rfornor@scscl.cl;Ricardo Lyon 3443
77197840-1;INMOBILIARIA Y CONSTRUCTORA FUNDART;EDIFICIO MANUEL MONTT 1098;22264;;ALFEREZ REAL 1274
79895730-9;Soc. Constructora Santa Cruz S.A.;EDIFICIO MAR DEL PLATA;23762;arojasb@scscl.cl;MAR DEL PLATA 150
76125562-2;CRK LTDA.;EDIFICIO MARTIN ALONSO PINZON;22747;dieter.pammer@gmail.com;MARTIN ALONSO PINZON 6914
76161356-1;Sociedad Constructora Pincheira Ltda.;EDIFICIO MARURI;23180;emiliosoto@constructorcivil.cl;MARURI 375
76324750-3;CONSTRUCTORA RAUL DEL RIO LTDA.;EDIFICIO MATUCANA;23481;jriquelme@rauldelrio.cl;CHACABUCO 1254
96844950-8;Ebco S.A.;EDIFICIO METRO PARQUE II;26783;jean.bernard@ebco.cl;SAN EUGENIO 1401
84865000-5;R Y Q INGENIERIA S.A;EDIFICIO MIGUEL CLARO;26838;carlos.painequeo@ryq.cl;MIGUEL CLARO  570
7129664-4;ROBERTO ALEJANDRO VERGARA SORICH;EDIFICIO MIRADOR DEL VALLE;22130;rvergaras@gmail.com;AV. AMERICO VESPUCIO NORTE 2445
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;Edificio Moneda;22980;;moneda 1640
76813710-2;SMI Inmobiliaria y Constructora Ltda.;Edificio Municipal de Placilla;21835;jpgarate@smi-di.cl;Oscar Gajardo 2250
94557000-8;CONSTRUCTORA COSAL S.A.;Edificio Municipal Placilla;22357;x;San Ignacio 274
77844890-4;CONTRUCTORA Y MAESTRANZA TORCAZAS LIMITADA;EDIFICIO NOVA;22165;perrazu@torcazas.tie.cl;SANTIAGO 1152
89259300-0;EMP. CONST. BARRIA Y GONZALEZ LTDA;EDIFICIO OFICINAS ACANTO;23316;barriaygonzalez@gmail.com;Jorge Washinton  223
76239811-7;INGENIERIA Y CONSTRUCCIONES OLIVARES Y UTJES  LTDA;EDIFICIO ORTUZAR;24509;jfuentes@ingecou.cl;ORTUZAR 1025
76057002-8;Ecomsa Empresa Constructora S.A.;EDIFICIO PADEREWSKI;23962;;paderewski 100
76152253-1;VISION SPA;Edificio Padre Hurtado Villa María Academy;24206;caravena@visionspa.cl;Presidente Errázuriz  3753
76779980-2;Sociedad Constructora Francisco Lorca Ltda.;Edificio Parque Carrera;21865;caguilera@cfl.cl;Avda. Javiera Carrera 900
76779980-2;Sociedad Constructora Francisco Lorca Ltda.;Edificio Parque Carrera II;22665;caguilera@cfl.cl;Javiera Carrera 900
86446400-9;EMPRESA CONSTRUCTORA PRIEWER Y PRIEWER LIMITADA;EDIFICIO PARQUE DEL SOL;21989;m.cisterna@camporeal.cl;AVENIDA CHILE 70
89853600-9;Constructora Ingevec S.A.;Edificio Parque Estacion II Etapa;21847;fmartinez@ingevec.cl;Wenceslao Sanchez 074
89853600-9;Constructora Ingevec S.A.;EDIFICIO PARQUE MACUL;23205;ccardenas@ingevec.cl;AVDA. MACUL  6018
76964020-7;Grupo De Innovacion Tecnologico Constructivo Ltda.;Edificio Plaza;24676;hitalomorales@gitc.cl;El Bosque  2293
76964020-7;Grupo De Innovacion Tecnologico Constructivo Ltda.;EDIFICIO PLAZA DINAMARCA 2;27965;danieljove@gitc.cl;EL BOSQUE  2337
76282466-3;PERSEVERANCIA CONSTRUCCIONES SA;EDIFICIO PORTAL DE TORRENT;26854;bgonzalez@perseverancia.cl;COMPAÑIA 4464
76108888-2;CONSTRUCTORA STARHOME LTDA.;Edificio Puyai;24370;jmayol@starhome.cl;AVDA MARÍTIMA  567
76282466-3;PERSEVERANCIA CONSTRUCCIONES SA;EDIFICIO RAINMARY;24514;bgonzalez@èrseverancia.cl;MARTINEZ DE ROZAS 4031
79853280-4;CONSTRUCTORA BESALCO LTDA.;EDIFICIO REPuBLICA DE CUBA;22208;rgibson@besalco.cl;REPUBLICA DE CUBA 1414
79512820-4;INGENIERiA Y CONSTRUCCIoN BERNARDO VALDES Y CIA LTDA.;EDIFICIO RiO TRANCURA;22889;waravena@incova.cl;CAMINO TURISTICO 11388
78588540-6;CONSTRUCTORA NUEVO AMANECER LTDA.;EDIFICIO SALVADOR VERGARA DE REnACA;22988;marcelolatorrelopez@gmail.com;SALVADOR VERGARA 264
76157213-k;CONSTRUCTORA ICATEC LTDA.;EDIFICIO SAN ALFONSO;22694;pedroramirez@icatec.cl;SAN ALFONSO 349
78470900-0;CONSTRUCTORA BRIONES Y MARTINEZ LTDA;EDIFICIO SAN EUGENIIO;23300;rmeier@brimac.cl;SAN EUGENIO 990
99530790-1;TECNIA CONSTRUCCIONES S.A.;EDIFICIO SAN EUGENIO II;22388;gparra@tecnia.cl;SAN EUGENIO 1331
78048860-3;LM CONSTRUCCION S.A.;EDIFICIO SAN FELIPE;24338;jmartinez@l-m.cl;DIEGO DE ALMAGRO 1052
77728990-K;CONSTRUCTORA LOS COIGUES;EDIFICIO SAN FRANCISCO;22242;;QUINTANILLA  850
79578400-4;Constructora Armas Ltda.;Edificio San Francisco;22274;mescobar@empresasarmas.cl;San Francisco  228
96823830-2;CONSTRUCTORA E INMOBILIARIA ARAME;EDIFICIO SAN JOSE DE LA SIERRA;24652;roberto.gorodischer@magal.c;san jose de la sierra 750
76004171-8;Contructora Ecsa Ltda;EDIFICIO SAN MARTIN;27925;jduran@santolaya.cl;ROSAS 1499
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;Edificio San Martín;26798;jduran@santolaya.cl;Rosas 1499
76119788-6;Constructora D y V Corp. Ltda.;EDIFICIO SAN PABLO;22315;bodegasp@constructoradv.cl;Avenida San Pablo 1529
78743430-4;ASESORIAS E INVERSIONES K Y V LTDA;EDIFICIO SAN RAFAEL;23016;obras@kyv.cl;SAN RAFAEL  925
89231700-3;CONSTRUCTORA RALUN LTDA;EDIFICIO SANTA ELENA II;22216;mduchens@yahoo.com;SANTA ELENA 2840
89231700-3;CONSTRUCTORA RALUN LTDA;EDIFICIO SANTA ELENA III;23004;stgonzam@hotmail.com;SANTA ELENA  2840
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;EDIFICIO SANTA VICTORIA;23207;csoto@santolaya.cl;SANTA VICTORIA 562
78056380-k;Danacorp S.A;Edificio Santo Domingo;22488;jvasquez@danacorp.cl;Santo Domngo 1457
78056380-k;Danacorp S.A;EDIFICIO SANTO DOMINGO 1420;23081;jvasquez@danacorp.cl;SANTO DOMINGO 1420
76540625-0;Constructora Benavente spa;Edificio Santo Domingo Plaza;28013;ralvarez@ralcoing.cl;Santo Domingo  1724
76137730-2;Ingenieria y Const. German Gomez y Cia Ltda.;EDIFICIO SCHUBERT;24472;rhevia@ggl.cl;ANGEL GUARELLO 1168
76057002-8;Ecomsa Empresa Constructora S.A.;Edificio Security;22408;jirodriguez@ecomsa.cl;AV. AMERICO VESPUCIO 855
77710830-1;SOC. CONST. ECHAVARRI HERMANOS LTDA.;EDIFICIO SEIS;23309;rodrigocabrera@constructorasae.cL;EL QUISCO 3160
96513310-0;CONSTRUCTORA INARCO S.A;Edificio Seniority;26772;;Av. Colombia 9080
96692790-9;MATERIALES Y SOLUCIONES S.A.;EDIFICIO SERENA CENTRO;28055;emcomineirl@gmail.com;LOS CARRERA 657
76606320-9;Constructora Ingetasco Limitada;Edificio Suecia;22569;flacamara@ingetasco.cl;Suecia 0155
79895730-9;Soc. Constructora Santa Cruz S.A.;EDIFICIO SUECIA;23452;rfigueroai@scscl.cl;SUECIA 810
76606320-9;Constructora Ingetasco Limitada;EDIFICIO T-DESING;24525;fjohnson@ingetasco.cl;MARIN 440
76081805-4;Constructora Rio Teno Ltda.;Edificio Teniente Montt;24511;rsanhueza@rioteno.com;TTE MONTT  1902
79588430-0;EMPRESA CONSTRUCTORA COEX LTDA;EDIFICIO TERRA OFFICE;23419;mtorres@coex.cl;HUANHUALI 850
76098095-1;Constructora Millenium;Edificio Tobalaba Office;23129;cbarreraaslsencorp.cl;Tobalaba 287
76940560-7;SENCORP CONSTRUCCION S.A.;EDIFICIO TOBALABA OFFICE;24413;cbarrera@aslsencorp.cl;TOBALABA 287
76119508-5;CONSTRUCTORA CAMPOREAL LTDA;EDIFICIO TRENTO;23834;m.cisterna@camporeal.cl;LAMPA  350
76910360-0;CONSTRUCTORA SANTOLAYA LTDA;EDIFICIO URBAN;22386;csalvo@santolaya.cl;Av. Ecuador 181 5 P
76057002-8;Ecomsa Empresa Constructora S.A.;EDIFICIO VESPUCIO SUR;22420;jrodriguez@ecomsa.cl;AV. AMERICO VESPUCIO 855
86089600-1;EMPRESA CONSTRUCTORA DE VIVIENDAS ECONOMICAS ANDREANI ARATA LTDA;EDIFICIO VIANA;23805;rmartinezrebolledo@gmail.com;Viana  459
76048229-3;INNOVA INGENIERÍA Y CONSTRUCCIÓN LTDA.;EDIFICIO VIENA;27900;dsaavedra@innovaltda.com;DIEGO DE ALMAGRO  4715
76213025-4;CONST.E INMOB.Y AGRICOLA ZOTTAVAS;EDIFICIO VIENA;24715;jpvz@hotmail.com;MATTA 549
76236553-7;CONSTRUCTORA VICONSA LIMITADA;EDIFICIO VIGIA AMD CAJA ASCENSORES;22914;;AV. FRANCISCO SOZA COUSInO 650
76236553-7;CONSTRUCTORA VICONSA LIMITADA;Edificio Vigias de Montemar;22486;;francisco soza cousino 650
78209190-5;CONSTRUCTORA EL TAMARUGO LTDA;EDIFICIO VInA LIBERTAD;23218;ppena@bravoizquierdo.cl;2 NORTE 841
84102200-9;EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO LTDA;EDIFICIO VInA LIBERTAD;23196;epena@bravoizquierdo.cl;2 ORIENTE  119
76320978-4;INGENIERIA CONSTRUCCIÓN Y CONSULTORÍA TOSCANA SPA;EDIFICIO VISTA MARINA;24762;eduardo.acevedo@toscanacorp.cl;AMUNATEGUI 1734
76140059-2;MODENA INGENIERIA Y CONSTRUCCION LIMITADA;EDIFICIO WLAVER;22244;g.gonzalezqmodenaing.cl;SAN EUGENIO 12779
76055295-k;CONSTRUCTORA PLAZA DE ARMAS LTDA.;EDIFICIO ZENTENO - ANDAMIO;22223;aallende@plazadearmas.cl;ZENTENO 998
77312730-1;Constructora Andreu Ltda.;EDIFICIOS SAN LUIS - QUILICURA;22591;rnino@andreu.cl;SAN LUIS NORTE 828
96844950-8;Ebco S.A.;EDIFICIOS SOL ORIENTE MACUL;22682;victor.soto@ebco.cl;Avenida Macul sn
76057002-8;Ecomsa Empresa Constructora S.A.;EDIFICO LOS CAPITANES;22151;;Los Capitanes 1355
76030259-7;MAESTRANZA SOTOMAYOR Y CIA LTDA.;EEMM HOSPITAL FUTALEUFU;23958;;FUTALEUFU S/N
77858110-8;Ingenieria y Construccion SIVEC Ltda.;EL CASTILLO, CONDOMINIO LA SOLUCIoN;22793;jonathan.carvajal@sivec.cl;EL ALGARROBO, CONDOMINIO LAGARES S/N
78987590-1;SIITEC;EL COBALTO;22415;gabriel.manthey@siitec.cl;CODELCO CHILE DIVISION ANDINA  km 21,7 El Cobalto
76058918-7;CONSTRUCTORA PIEDRA ALTA S.A.;EL LITRE VII ETAPA;23014;ahernandez@iwood.cl;CAMINO SANTA MARTINA  500
76058918-7;CONSTRUCTORA PIEDRA ALTA S.A.;EL LITRE VIII;24072;mleiva@iwood.cl;AV. EL LITRE  500
76048251-K;CONSTRUCTORA INMOBILIARIA E INVERSIONES OVAL LTDA;El MAnIO;22434;jefevilches@hotmail.com;Bombero Segio Larenas 380
76107042-8;Constructora Viviendas 2000 Ltda.;EL MILAGRO - LA SERENA;22909;juangc@viviendas2000.cl;CALLE DEL SOLAR 1641
6766695-k;Rafael Mario Yañez Leon;El Remanso;24291;mauricio.pavez.pontiggia@gmail.com;Francisco Bulnes Correa 3224
96844020-9;DELTA Y&V INGENIERIA Y CONSTRUCCION S.A;EL REMANSO;22634;ogonzalez@delta.cl;CAMINO GRAN VISTA  11136
76145758-6;CONSTRUCTORA PARQUE CHICUREO S.A.;EL REMANSO DE CHICUREO;23190;fgajardo@brotec-icafal.cl;SANTA FILOMENA ESQUINA SAN LUIS S/N
78030120-1;CONSTRUCTORA ALTIUS S.A;EL RETIRO;23674;cesa.vargas@altius.cl;El Retiro  4855
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;El Singular;23000;cirarrazaval@socovesa.cl;Chicureo S/N
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;EL SINGULAR II ETAPA;24050;cirarrazaval@socovesa.cl;CHICUREO S/N
78702530-7;Constructora Pio V Ltda.;EL TABO;26849;;SAN MARCOS  729
99558680-0;CONSTRUCTORA SOCOVESA SANTIAGO S.A.;EL TRANQUE;22052;;AV. EL TRANQUE 10157
12407892-K;Claudio Urrutia Altamirano;Electrico DOM;21792;;Colombia 0599
76110261-3;INMOBILIARIA Y AGRICOLA LA MARTINA LTDA.;ELECTRIFACION GALPON;24681;patoalvarezh@gmail.com;CAMINO LINEA NUEVA KM. 2.3
76272746-3;CONSTRUCTORA LOA SUR LTDA;ENCAUSAMIENTO AGUAS ESTERO MATADERO;24295;pedroyarzo61@gmail.com;LA CARRERA SN
76360241-9;Empresa Constructora Taltal SPA;Encinas de Quilín;23966;cristina.arriagada@taltalconstructora.cl;Camino el Almendral 5960
13334275-3;Guillermo Salas;Encofrado Muros;22496;;Duque de Kent 0905
78166100-7;CONSTRUCTORA ARRAYAN LTDA;Encofrados encauzamiento Estero Ancud;24068;c.arrayan@vtr.net;Calles los Pinos S/n
73107200-0;FUND. FACULTAD DE ARQ. Y URB. U. DE CHILE;ENCUENTRO EMPRESARIAL I+C;21991;joaquinantoniog@gmail.com;MARCOLETA 250
84102200-9;EMPRESA CONSTRUCTORA BRAVO E IZQUIERDO LTDA;EQUIPOS Y MAQUINARIA BI;26835;;SAN CARLOS DE APOQUINDO 2200
76379070-3;SOCIEDAD EDUCACIONAL LTDA.;ESCENARIO GIMNACIO;26833;director@saintpaulcollege.cl;SALOMON NEGRIN  936
76119508-5;CONSTRUCTORA CAMPOREAL LTDA;ESCRIVA DE BALAGUER;28021;m.cisterna@camporeal.cl;ESCRIVA DE BALAGUER 725
96797660-1;INMOBILIARIA INVERSIONES ASESORIAS Y CONSTRUCCION INVASCO S.A.;ESCUELA DE BALLET DE SANTIAGO;22476;farteagae@invasco-sa.com;MONEDA 759
78621020-8;EMPRESA CONSTRUCTORA EDACO LIMITADA;ESCUELA DE DANZA MODERNA;22658;ffigueroa@gmail.com;ANTONIA LOPEZ DE BELLO 120
76543280-4;INMOB Y CONSTRUC SAN MATEO S.A.;ESCUELA DE MUSICA OVALLE;22159;felipealvarado@sm.michell.cl;ANTONIO TIRADO 405
76857990-3;EL VOLCAN SA;ESCUELA DE NEGOCIOS UDP;22097;palvarez@constructoraelvolcan.cl;AVDA, RINCONADA EL SALTO 4750
77967890-3;CONSTRUCTORA KOHN Y SALINAS LTDA.;Escuela Poetas de Chile;21961;mbecerrapino@gmail.com;Juan de Bastias 2890
77993140-4;Empresa Constructora Ricardo Werth Ltda.;Escuela Técnica Aeronáutica Civil;24479;cherrera@constructorarw.cl;Dagoberto Godoy    836
76290063-7;CONSTRUCTORA HW LTDA.;ESPACIO LUGANO;23678;;MANUEL BULNES 150 OF 202
77167300-7;INSPECCIONES ASESORIAS TECNICAS Y CONSTRUCCION LIMITADA;ESTACION ELEVADORA POMPEYA SUR;25776;pgalleguillos@inatec.cl;ATACAMA 01565
76174024-5;CONSTRUCTORA COPAHUE;ESTACIONAMIENTO SANTO DOMINGO;22615;ma@copahue.cl;SANTO DOMINGO  1775
87851700-8;CONSTRUCTORA MANQUEHUE LTDA.;ESTANCIA LIRAY;22311;hrocco@imanquehue.com;AV. GRAL. SAN MARTIN 2000
87851700-8;CONSTRUCTORA MANQUEHUE LTDA.;ESTANCIA LIRAY ETAPA 4.2;22675;FCAMUS@MANQUEHUE.CL;AV. GRAL. SAN MARTIN 2000
87851700-8;CONSTRUCTORA MANQUEHUE LTDA.;Estancia Liray Etapa 4.3;23574;hrocco@imanquehue.cl;Carretera San Martin 2000
87851700-8;CONSTRUCTORA MANQUEHUE LTDA.;ESTANCIA LIRAY ETAPA 8.2;23134;hernan.rocco@imanquehue.com;GENERAL SAN MARTIN 2000
87851700-8;CONSTRUCTORA MANQUEHUE LTDA.;ESTANCIA LIRAY ETAPA II;22845;hrocco@imanquehue.com;AV. GENERAL SAN MARTiN 2000
76034343-9;SERVICIOS INDUSTRIALES FIGUEROA LTDA.;ESTANQUE AGUA - VALDIVIA;22087;ecamano@emsif.cl;HUEMUL ESQUINA PICARTE S/N
12155185-3;MARCELO HERNAN SILVA ALVAREZ;ESTANQUE AGUA CARCEL PUERTO MONTT;24614;edu_mora2006@yahoo.es;RUTA 5 SUR KM 1025 S/N
76202154-4;CONSTRUCTORA COFRAN LIMITADA;ESTANQUE AGUA LOTEO HIDROMAR;22686;;Vizcaya s/n
